match_no,home_team,away_team,err,xg_h,xg_a,passes_h,passes_h2,passes_a,passes_a2,linebreaks_h,linebreaks_a,recff_h,recff_a,progress_h,progress_a,pressures_h,pressures_h2,pressures_a,pressures_a2,turnovers_h,turnovers_a,secondballs_h,secondballs_a,dist_h,dist_a,zone4_h,zone4_a
28,Mexico,South Korea,,0.34,0.87,432.0,360.0,593.0,510.0,76.0,75.0,56.0,84.0,18.0,16.0,265.0,39.0,217.0,37.0,46.0,48.0,69.0,62.0,116.5,112.1,5.3,5.3
29,Brazil,Haiti,,1.42,0.26,551.0,484.0,402.0,338.0,105.0,84.0,84.0,88.0,21.0,29.0,195.0,32.0,294.0,58.0,39.0,34.0,50.0,63.0,113.6,112.8,5.9,6.1
30,Scotland,Morocco,,0.74,0.8,460.0,403.0,676.0,612.0,87.0,83.0,77.0,99.0,26.0,32.0,304.0,36.0,260.0,56.0,39.0,40.0,49.0,61.0,117.8,115.4,5.9,6.4
31,Turkey,Paraguay,,2.13,0.36,666.0,594.0,171.0,92.0,153.0,45.0,319.0,40.0,43.0,17.0,101.0,36.0,367.0,69.0,41.0,50.0,92.0,61.0,123.3,117.0,5.4,6.3
32,United States,Australia,,1.58,0.31,531.0,465.0,308.0,238.0,95.0,71.0,126.0,89.0,33.0,31.0,167.0,50.0,262.0,40.0,39.0,40.0,65.0,70.0,111.1,112.8,5.5,6.2
33,Germany,Ivory Coast,,2.47,1.27,634.0,578.0,449.0,387.0,133.0,92.0,215.0,92.0,28.0,50.0,293.0,59.0,316.0,57.0,47.0,43.0,69.0,60.0,125.8,113.1,7.6,5.3
34,Ecuador,Curaçao,,2.76,0.63,663.0,601.0,237.0,167.0,125.0,59.0,238.0,50.0,41.0,31.0,155.0,49.0,345.0,50.0,43.0,35.0,92.0,60.0,103.7,106.1,5.4,5.2
35,Netherlands,Sweden,,2.25,1.3,447.0,398.0,438.0,377.0,96.0,100.0,97.0,118.0,25.0,20.0,232.0,38.0,228.0,38.0,47.0,37.0,54.0,53.0,108.4,110.1,5.5,5.7
36,Tunisia,Japan,,0.02,1.36,376.0,305.0,593.0,535.0,58.0,85.0,55.0,119.0,13.0,17.0,233.0,35.0,219.0,50.0,34.0,35.0,45.0,52.0,112.4,112.2,5.5,5.3
37,Uruguay,Cape Verde,,2.23,0.54,517.0,444.0,293.0,218.0,92.0,62.0,183.0,47.0,31.0,29.0,198.0,43.0,233.0,39.0,41.0,46.0,78.0,61.0,112.8,107.4,6.7,4.7
