espn_id,date,kickoff_utc,stage,home_team,away_team,home_score,away_score,total_goals,gd,outcome,winner,p_home,p_draw,p_away,brier,fav_side,p_fav,upset,fav_won,venue_city,stadium,lat,lon,tz,local_hour,daypart,temp_c,humidity_pct,apparent_c,heat_humidity_index,h1_goals,h2_goals,et_goals,late2h_goals,h1_ls,h2_ls,n_keyevents,error,reg_goals,goal_check_ok,teamset,match_no,home_dist_km,away_dist_km,combined_dist_km,combined_sprint_km,home_n,away_n
760430,2026-06-16,2026-06-16 22:00:00+00:00,group,Iraq,Norway,1,4,5,-3,A,Norway,0.1274,0.2265,0.6461,0.1928,A,0.6461,0.0,1.0,"Foxborough, Massachusetts",Gillette Stadium,42.0909,-71.2643,America/New_York,18.0,evening(18-21),23.3,37.0,21.6,8.621,3,2,0,2,3,2,40,,5,True,"frozenset({'Iraq', 'Norway'})",18.0,111.7,116.3,228.0,10.899999999999999,Iraq,Norway
760433,2026-06-17,2026-06-17 01:00:00+00:00,group,Argentina,Algeria,3,0,3,3,H,Argentina,0.6294,0.2327,0.1379,0.2105,H,0.6294,0.0,1.0,"Kansas City, Missouri",Arrowhead Stadium,39.0489,-94.4839,America/Chicago,20.0,evening(18-21),24.9,58.0,26.3,14.441999999999998,1,2,0,1,1,2,31,,3,True,"frozenset({'Algeria', 'Argentina'})",19.0,108.4,109.3,217.7,9.600000000000001,Argentina,Algeria
760431,2026-06-17,2026-06-17 04:00:00+00:00,group,Austria,Jordan,3,1,4,2,H,Austria,0.4537,0.2764,0.2699,0.4477,H,0.4537,0.0,1.0,"Santa Clara, California",Levi's Stadium,37.403,-121.97,America/Los_Angeles,21.0,night(>=21),16.8,74.0,15.8,12.432,1,3,0,2,1,3,43,,4,True,"frozenset({'Jordan', 'Austria'})",20.0,120.4,119.2,239.60000000000002,13.4,Austria,Jordan
760435,2026-06-17,2026-06-17 17:00:00+00:00,group,Portugal,DR Congo,1,1,2,0,D,,0.6084,0.2397,0.1519,0.9713,H,0.6084,1.0,0.0,"Houston, Texas",NRG Stadium,29.6847,-95.4107,America/Chicago,12.0,midday(<15),28.6,79.0,33.2,22.594,2,0,0,0,2,0,27,,2,True,"frozenset({'DR Congo', 'Portugal'})",23.0,109.8,112.4,222.2,11.7,Portugal,DR Congo
760437,2026-06-17,2026-06-17 20:00:00+00:00,group,England,Croatia,4,2,6,2,H,England,0.5287,0.2625,0.2088,0.3346,H,0.5287,0.0,1.0,"Arlington, Texas",AT&T Stadium,32.7473,-97.0945,America/Chicago,15.0,afternoon(15-18),32.5,52.0,35.2,16.9,4,2,0,1,4,2,32,,6,True,"frozenset({'Croatia', 'England'})",22.0,117.0,113.7,230.7,13.0,England,Croatia
760434,2026-06-17,2026-06-17 23:00:00+00:00,group,Ghana,Panama,1,0,1,1,H,Ghana,0.1563,0.2422,0.6015,1.1323,A,0.6015,1.0,0.0,Toronto,BMO Field,43.6332,-79.4185,America/Toronto,19.0,evening(18-21),18.7,75.0,18.1,14.025,0,1,0,1,0,1,41,,1,True,"frozenset({'Panama', 'Ghana'})",21.0,119.0,117.3,236.3,11.9,Ghana,Panama
760436,2026-06-18,2026-06-18 02:00:00+00:00,group,Uzbekistan,Colombia,1,3,4,-2,A,Colombia,0.1583,0.2431,0.5987,0.2452,A,0.5987,0.0,1.0,Mexico City,Estadio Azteca,19.3029,-99.1505,America/Mexico_City,20.0,evening(18-21),17.9,82.0,19.3,14.678,1,3,0,1,1,3,36,,4,True,"frozenset({'Colombia', 'Uzbekistan'})",24.0,112.0,108.7,220.7,9.2,Uzbekistan,Colombia
760438,2026-06-18,2026-06-18 16:00:00+00:00,group,Czech Republic,South Africa,1,1,2,0,D,,0.4808,0.2722,0.247,0.8219,H,0.4808,1.0,0.0,"Atlanta, Georgia",Mercedes-Benz Stadium,33.7554,-84.4008,America/New_York,12.0,midday(<15),27.7,76.0,31.5,21.052,1,1,0,1,1,1,29,,2,True,"frozenset({'South Africa', 'Czech Republic'})",25.0,119.6,112.0,231.6,12.5,Czech Republic,South Africa
760439,2026-06-18,2026-06-18 19:00:00+00:00,group,Switzerland,Bosnia and Herzegovina,4,1,5,3,H,Switzerland,0.6407,0.2286,0.1307,0.1984,H,0.6407,0.0,1.0,"Inglewood, California",SoFi Stadium,33.9535,-118.3392,America/Los_Angeles,12.0,midday(<15),21.4,60.0,21.3,12.84,0,5,0,4,0,5,37,,5,True,"frozenset({'Switzerland', 'Bosnia and Herzegovina'})",26.0,114.9,113.1,228.0,11.399999999999999,Switzerland,Bosnia and Herzegovina
760440,2026-06-18,2026-06-18 22:00:00+00:00,group,Canada,Qatar,6,0,6,6,H,Canada,0.7443,0.1832,0.0724,0.1042,H,0.7443,0.0,1.0,Vancouver,BC Place,49.2768,-123.112,America/Vancouver,15.0,afternoon(15-18),20.3,56.0,19.7,11.368,3,3,0,2,3,3,52,,6,True,"frozenset({'Canada', 'Qatar'})",27.0,111.2,90.8,202.0,9.4,Canada,Qatar
760441,2026-06-19,2026-06-19 01:00:00+00:00,group,Mexico,South Korea,1,0,1,1,H,Mexico,0.4818,0.272,0.2461,0.4031,H,0.4818,0.0,1.0,Guadalajara,Estadio Akron,20.6819,-103.4625,America/Mexico_City,19.0,evening(18-21),20.9,80.0,22.0,16.72,0,1,0,0,0,1,29,,1,True,"frozenset({'South Korea', 'Mexico'})",28.0,116.5,112.1,228.6,10.6,Mexico,South Korea
760442,2026-06-19,2026-06-19 19:00:00+00:00,group,United States,Australia,2,0,2,2,H,United States,0.376,0.2821,0.3418,0.5858,H,0.376,0.0,1.0,"Seattle, Washington",Lumen Field,47.5952,-122.3316,America/Los_Angeles,12.0,midday(<15),23.2,45.0,23.0,10.44,2,0,0,0,2,0,51,,2,True,"frozenset({'Australia', 'United States'})",32.0,111.1,112.8,223.89999999999998,11.7,United States,Australia
760445,2026-06-19,2026-06-19 22:00:00+00:00,group,Scotland,Morocco,0,1,1,-1,A,Morocco,0.2514,0.2731,0.4755,0.4129,A,0.4755,0.0,1.0,"Foxborough, Massachusetts",Gillette Stadium,42.0909,-71.2643,America/New_York,18.0,evening(18-21),24.2,45.0,21.8,10.89,1,0,0,0,1,0,36,,1,True,"frozenset({'Scotland', 'Morocco'})",30.0,117.8,115.4,233.2,12.3,Scotland,Morocco
760444,2026-06-20,2026-06-20 00:30:00+00:00,group,Brazil,Haiti,3,0,3,3,H,Brazil,0.7356,0.1877,0.0767,0.111,H,0.7356,0.0,1.0,"Philadelphia, Pennsylvania",Lincoln Financial Field,39.9008,-75.1675,America/New_York,20.5,evening(18-21),26.7,31.0,23.9,8.277,3,0,0,0,3,0,37,,3,True,"frozenset({'Brazil', 'Haiti'})",29.0,113.6,112.8,226.39999999999998,12.0,Brazil,Haiti
760443,2026-06-20,2026-06-20 03:00:00+00:00,group,Turkey,Paraguay,0,1,1,-1,A,Paraguay,0.4132,0.2805,0.3063,0.7306,H,0.4132,1.0,0.0,"Santa Clara, California",Levi's Stadium,37.403,-121.97,America/Los_Angeles,20.0,evening(18-21),20.5,58.0,19.3,11.89,1,0,0,0,1,0,64,,1,True,"frozenset({'Turkey', 'Paraguay'})",31.0,123.3,117.0,240.3,11.7,Turkey,Paraguay
760447,2026-06-20,2026-06-20 17:00:00+00:00,group,Netherlands,Sweden,5,1,6,4,H,Netherlands,0.5201,0.2645,0.2155,0.3467,H,0.5201,0.0,1.0,"Houston, Texas",NRG Stadium,29.6847,-95.4107,America/Chicago,12.0,midday(<15),27.7,82.0,32.6,22.714,2,4,0,1,2,4,35,,6,True,"frozenset({'Netherlands', 'Sweden'})",35.0,108.4,110.1,218.5,11.2,Netherlands,Sweden
760448,2026-06-20,2026-06-20 20:00:00+00:00,group,Germany,Ivory Coast,2,1,3,1,H,Germany,0.5268,0.2628,0.2103,0.3372,H,0.5268,0.0,1.0,Toronto,BMO Field,43.6332,-79.4185,America/Toronto,16.0,afternoon(15-18),23.0,38.0,22.3,8.74,1,2,0,1,1,2,41,,3,True,"frozenset({'Ivory Coast', 'Germany'})",33.0,125.8,113.1,238.89999999999998,12.899999999999999,Germany,Ivory Coast
760446,2026-06-21,2026-06-21 00:00:00+00:00,group,Ecuador,Curaçao,0,0,0,0,D,,0.7544,0.1781,0.0674,1.2492,H,0.7544,1.0,0.0,"Kansas City, Missouri",Arrowhead Stadium,39.0489,-94.4839,America/Chicago,19.0,evening(18-21),26.5,61.0,27.9,16.165,0,0,0,0,0,0,43,,0,True,"frozenset({'Ecuador', 'Curaçao'})",34.0,103.7,106.1,209.8,10.600000000000001,Ecuador,Curaçao
760449,2026-06-21,2026-06-21 04:00:00+00:00,group,Tunisia,Japan,0,4,4,-4,A,Japan,0.07,0.1809,0.7492,0.1005,A,0.7492,0.0,1.0,Guadalupe,Estadio BBVA (Monterrey),25.669,-100.244,America/Monterrey,22.0,night(>=21),23.3,96.0,28.0,22.368,2,2,0,1,2,2,30,,4,True,"frozenset({'Tunisia', 'Japan'})",36.0,112.4,112.2,224.60000000000002,10.8,Tunisia,Japan
760453,2026-06-21,2026-06-21 16:00:00+00:00,group,Spain,Saudi Arabia,4,0,4,4,H,Spain,0.8339,0.1324,0.0337,0.0463,H,0.8339,0.0,1.0,"Atlanta, Georgia",Mercedes-Benz Stadium,33.7554,-84.4008,America/New_York,12.0,midday(<15),26.8,66.0,30.3,17.688,3,1,0,0,3,1,38,,4,True,"frozenset({'Spain', 'Saudi Arabia'})",38.0,115.5,115.0,230.5,12.600000000000001,Spain,Saudi Arabia
760451,2026-06-21,2026-06-21 19:00:00+00:00,group,Belgium,Iran,0,0,0,0,D,,0.4595,0.2756,0.2649,0.8061,H,0.4595,1.0,0.0,"Inglewood, California",SoFi Stadium,33.9535,-118.3392,America/Los_Angeles,12.0,midday(<15),22.5,56.0,23.6,12.6,0,0,0,0,0,0,35,,0,True,"frozenset({'Iran', 'Belgium'})",39.0,111.7,112.6,224.3,10.4,Belgium,Iran
760450,2026-06-21,2026-06-21 22:00:00+00:00,group,Uruguay,Cape Verde,2,2,4,0,D,,0.6482,0.2257,0.126,1.0356,H,0.6482,1.0,0.0,"Miami Gardens, Florida",Hard Rock Stadium,25.958,-80.2389,America/New_York,18.0,evening(18-21),31.4,58.0,35.3,18.212,3,1,0,0,3,1,42,,4,True,"frozenset({'Cape Verde', 'Uruguay'})",37.0,112.8,107.4,220.2,11.4,Uruguay,Cape Verde
760452,2026-06-22,2026-06-22 01:00:00+00:00,group,New Zealand,Egypt,1,3,4,-2,A,Egypt,0.2414,0.271,0.4876,0.3943,A,0.4876,0.0,1.0,Vancouver,BC Place,49.2768,-123.112,America/Vancouver,18.0,evening(18-21),22.0,41.0,20.2,9.02,1,3,0,1,1,3,44,,4,True,"frozenset({'New Zealand', 'Egypt'})",40.0,118.5,118.3,236.8,13.899999999999999,New Zealand,Egypt
760456,2026-06-22,2026-06-22 17:00:00+00:00,group,Argentina,Austria,2,0,2,2,H,Argentina,0.6337,0.2311,0.1351,0.2058,H,0.6337,0.0,1.0,"Arlington, Texas",AT&T Stadium,32.7473,-97.0945,America/Chicago,12.0,midday(<15),29.1,73.0,35.1,21.243,1,1,0,1,1,1,47,,2,True,"frozenset({'Austria', 'Argentina'})",43.0,104.4,107.8,212.2,9.4,Argentina,Austria
760457,2026-06-22,2026-06-22 21:00:00+00:00,group,France,Iraq,3,0,3,3,H,France,0.7605,0.175,0.0646,0.0922,H,0.7605,0.0,1.0,"Philadelphia, Pennsylvania",Lincoln Financial Field,39.9008,-75.1675,America/New_York,17.0,afternoon(15-18),30.6,44.0,30.3,13.464,1,2,0,0,1,2,25,,3,True,"frozenset({'France', 'Iraq'})",42.0,107.7,112.1,219.8,9.2,France,Iraq
760454,2026-06-23,2026-06-23 00:00:00+00:00,group,Norway,Senegal,3,2,5,1,H,Norway,0.5487,0.2575,0.1938,0.3075,H,0.5487,0.0,1.0,"East Rutherford, New Jersey",MetLife Stadium,40.8135,-74.0745,America/New_York,20.0,evening(18-21),21.3,92.0,23.7,19.596,1,4,0,1,1,4,35,,5,True,"frozenset({'Senegal', 'Norway'})",41.0,120.3,111.2,231.5,12.6,Norway,Senegal
760455,2026-06-23,2026-06-23 03:00:00+00:00,group,Jordan,Algeria,1,2,3,-1,A,Algeria,0.2078,0.2622,0.5299,0.3329,A,0.5299,0.0,1.0,"Santa Clara, California",Levi's Stadium,37.403,-121.97,America/Los_Angeles,20.0,evening(18-21),17.4,69.0,16.3,12.005999999999998,1,2,0,1,1,2,27,,3,True,"frozenset({'Jordan', 'Algeria'})",44.0,117.5,116.3,233.8,12.5,Jordan,Algeria
760461,2026-06-23,2026-06-23 17:00:00+00:00,group,Portugal,Uzbekistan,5,0,5,5,H,Portugal,0.5911,0.2455,0.1634,0.2542,H,0.5911,0.0,1.0,"Houston, Texas",NRG Stadium,29.6847,-95.4107,America/Chicago,12.0,midday(<15),31.3,67.0,37.9,20.971,3,2,0,1,3,2,35,,5,True,"frozenset({'Portugal', 'Uzbekistan'})",,,,,,,
760458,2026-06-23,2026-06-23 20:00:00+00:00,group,England,Ghana,0,0,0,0,D,,0.7828,0.1629,0.0543,1.3165,H,0.7828,1.0,0.0,"Foxborough, Massachusetts",Gillette Stadium,42.0909,-71.2643,America/New_York,16.0,afternoon(15-18),19.6,96.0,21.4,18.816000000000003,0,0,0,0,0,0,31,,0,True,"frozenset({'England', 'Ghana'})",45.0,108.3,105.9,214.2,9.399999999999999,England,Ghana
760460,2026-06-23,2026-06-23 23:00:00+00:00,group,Panama,Croatia,0,1,1,-1,A,Croatia,0.2114,0.2633,0.5253,0.3394,A,0.5253,0.0,1.0,Toronto,BMO Field,43.6332,-79.4185,America/Toronto,19.0,evening(18-21),22.1,50.0,20.3,11.05,0,1,0,0,0,1,24,,1,True,"frozenset({'Croatia', 'Panama'})",46.0,108.2,110.0,218.2,12.7,Panama,Croatia
760459,2026-06-24,2026-06-24 02:00:00+00:00,group,Colombia,DR Congo,1,0,1,1,H,Colombia,0.671,0.2165,0.1125,0.1678,H,0.671,0.0,1.0,Guadalajara,Estadio Akron,20.6819,-103.4625,America/Mexico_City,20.0,evening(18-21),18.4,88.0,19.5,16.191999999999997,0,1,0,1,0,1,30,,1,True,"frozenset({'DR Congo', 'Colombia'})",48.0,104.0,106.0,210.0,10.1,Colombia,DR Congo
760463,2026-06-24,2026-06-24 19:00:00+00:00,group,Switzerland,Canada,2,1,3,1,H,Switzerland,0.3176,0.3359,0.3466,0.6986,A,0.3466,1.0,0.0,Vancouver,BC Place,49.2768,-123.112,America/Vancouver,12.0,midday(<15),24.1,45.0,25.0,10.845,0,3,0,1,0,3,28,,3,True,"frozenset({'Canada', 'Switzerland'})",51.0,109.9,114.6,224.5,12.3,Switzerland,Canada
760462,2026-06-24,2026-06-24 19:00:00+00:00,group,Bosnia and Herzegovina,Qatar,3,1,4,2,H,Bosnia and Herzegovina,0.407,0.3307,0.2622,0.5298,H,0.407,0.0,1.0,"Seattle, Washington",Lumen Field,47.5952,-122.3316,America/Los_Angeles,12.0,midday(<15),27.0,36.0,28.6,9.72,3,1,0,1,3,1,46,,4,True,"frozenset({'Qatar', 'Bosnia and Herzegovina'})",52.0,113.8,110.0,223.8,10.9,Bosnia and Herzegovina,Qatar
760464,2026-06-24,2026-06-24 22:00:00+00:00,group,Morocco,Haiti,4,2,6,2,H,Morocco,0.6851,0.2357,0.0792,0.161,H,0.6851,0.0,1.0,"Atlanta, Georgia",Mercedes-Benz Stadium,33.7554,-84.4008,America/New_York,18.0,evening(18-21),28.5,43.0,29.4,12.255,4,2,0,2,4,2,45,,6,True,"frozenset({'Haiti', 'Morocco'})",50.0,111.2,107.5,218.7,12.7,Morocco,Haiti
760465,2026-06-24,2026-06-24 22:00:00+00:00,group,Scotland,Brazil,0,3,3,-3,A,Brazil,0.1853,0.3096,0.5051,0.3751,A,0.5051,0.0,1.0,"Miami Gardens, Florida",Hard Rock Stadium,25.958,-80.2389,America/New_York,18.0,evening(18-21),27.3,87.0,33.6,23.751,2,1,0,0,2,1,34,,3,True,"frozenset({'Scotland', 'Brazil'})",49.0,113.2,110.7,223.9,8.600000000000001,Scotland,Brazil
760467,2026-06-25,2026-06-25 01:00:00+00:00,group,Czech Republic,Mexico,0,3,3,-3,A,Mexico,0.0941,0.2511,0.6548,0.1911,A,0.6548,0.0,1.0,Mexico City,Estadio Azteca,19.3029,-99.1505,America/Mexico_City,19.0,evening(18-21),19.0,61.0,18.5,11.59,0,3,0,1,0,3,38,,3,True,"frozenset({'Mexico', 'Czech Republic'})",53.0,111.6,114.7,226.3,10.8,Czech Republic,Mexico
760466,2026-06-25,2026-06-25 01:00:00+00:00,group,South Africa,South Korea,1,0,1,1,H,South Africa,0.14,0.2867,0.5732,1.1504,A,0.5732,1.0,0.0,Guadalupe,Estadio BBVA (Monterrey),25.669,-100.244,America/Monterrey,19.0,evening(18-21),29.6,57.0,31.1,16.872,0,1,0,0,0,1,23,,1,True,"frozenset({'South Africa', 'South Korea'})",54.0,111.8,111.0,222.8,10.8,South Africa,South Korea
760473,2026-06-25,2026-06-25 20:00:00+00:00,group,Curaçao,Ivory Coast,0,2,2,-2,A,Ivory Coast,0.1805,0.2853,0.5343,0.3309,A,0.5343,0.0,1.0,"Philadelphia, Pennsylvania",Lincoln Financial Field,39.9008,-75.1675,America/New_York,16.0,afternoon(15-18),29.2,35.0,28.6,10.22,1,1,0,0,1,1,31,,2,True,"frozenset({'Ivory Coast', 'Curaçao'})",55.0,106.2,106.4,212.60000000000002,10.8,Curaçao,Ivory Coast
760468,2026-06-25,2026-06-25 20:00:00+00:00,group,Ecuador,Germany,2,1,3,1,H,Ecuador,0.2579,0.3075,0.4346,0.8341,A,0.4346,1.0,0.0,"East Rutherford, New Jersey",MetLife Stadium,40.8135,-74.0745,America/New_York,16.0,afternoon(15-18),27.9,39.0,26.5,10.880999999999998,2,1,0,1,2,1,35,,3,True,"frozenset({'Ecuador', 'Germany'})",56.0,109.8,114.5,224.3,12.399999999999999,Ecuador,Germany
760471,2026-06-25,2026-06-25 23:00:00+00:00,group,Japan,Sweden,1,1,2,0,D,,0.572,0.2733,0.1547,0.8792,H,0.572,1.0,0.0,"Arlington, Texas",AT&T Stadium,32.7473,-97.0945,America/Chicago,18.0,evening(18-21),33.2,46.0,34.2,15.272,0,2,0,0,0,2,35,,2,True,"frozenset({'Japan', 'Sweden'})",57.0,110.2,111.1,221.3,10.399999999999999,Japan,Sweden
760472,2026-06-25,2026-06-25 23:00:00+00:00,group,Tunisia,Netherlands,1,3,4,-2,A,Netherlands,0.0577,0.191,0.7513,0.1017,A,0.7513,0.0,1.0,"Kansas City, Missouri",Arrowhead Stadium,39.0489,-94.4839,America/Chicago,18.0,evening(18-21),22.2,91.0,24.9,20.202,2,2,0,0,2,2,26,,4,True,"frozenset({'Netherlands', 'Tunisia'})",58.0,111.1,106.8,217.89999999999998,10.399999999999999,Tunisia,Netherlands
760470,2026-06-26,2026-06-26 02:00:00+00:00,group,Turkey,United States,3,2,5,1,H,Turkey,0.1395,0.264,0.5965,1.166,A,0.5965,1.0,0.0,"Inglewood, California",SoFi Stadium,33.9535,-118.3392,America/Los_Angeles,19.0,evening(18-21),19.8,67.0,19.4,13.266000000000002,3,2,0,1,3,2,40,,5,True,"frozenset({'Turkey', 'United States'})",59.0,115.0,127.6,242.6,13.5,Turkey,United States
