espn_id,date,kickoff_utc,stage,home_team,away_team,home_score,away_score,total_goals,gd,outcome,winner,p_home,p_draw,p_away,brier,fav_side,p_fav,upset,fav_won,venue_city,stadium,lat,lon,tz,local_hour,daypart,temp_c,humidity_pct,apparent_c,heat_humidity_index
760430,2026-06-16,2026-06-16 22:00:00+00:00,group,Iraq,Norway,1,4,5,-3,A,Norway,0.1274,0.2265,0.6461,0.1928,A,0.6461,0.0,1.0,"Foxborough, Massachusetts",Gillette Stadium,42.0909,-71.2643,America/New_York,18.0,evening(18-21),23.3,37.0,21.6,8.621
760433,2026-06-17,2026-06-17 01:00:00+00:00,group,Argentina,Algeria,3,0,3,3,H,Argentina,0.6294,0.2327,0.1379,0.2105,H,0.6294,0.0,1.0,"Kansas City, Missouri",Arrowhead Stadium,39.0489,-94.4839,America/Chicago,20.0,evening(18-21),24.9,58.0,26.3,14.441999999999998
760431,2026-06-17,2026-06-17 04:00:00+00:00,group,Austria,Jordan,3,1,4,2,H,Austria,0.4537,0.2764,0.2699,0.4477,H,0.4537,0.0,1.0,"Santa Clara, California",Levi's Stadium,37.403,-121.97,America/Los_Angeles,21.0,night(>=21),16.8,74.0,15.8,12.432
760435,2026-06-17,2026-06-17 17:00:00+00:00,group,Portugal,DR Congo,1,1,2,0,D,,0.6084,0.2397,0.1519,0.9713,H,0.6084,1.0,0.0,"Houston, Texas",NRG Stadium,29.6847,-95.4107,America/Chicago,12.0,midday(<15),28.6,79.0,33.2,22.594
760437,2026-06-17,2026-06-17 20:00:00+00:00,group,England,Croatia,4,2,6,2,H,England,0.5287,0.2625,0.2088,0.3346,H,0.5287,0.0,1.0,"Arlington, Texas",AT&T Stadium,32.7473,-97.0945,America/Chicago,15.0,afternoon(15-18),32.5,52.0,35.2,16.9
760434,2026-06-17,2026-06-17 23:00:00+00:00,group,Ghana,Panama,1,0,1,1,H,Ghana,0.1563,0.2422,0.6015,1.1323,A,0.6015,1.0,0.0,Toronto,BMO Field,43.6332,-79.4185,America/Toronto,19.0,evening(18-21),18.7,75.0,18.1,14.025
760436,2026-06-18,2026-06-18 02:00:00+00:00,group,Uzbekistan,Colombia,1,3,4,-2,A,Colombia,0.1583,0.2431,0.5987,0.2452,A,0.5987,0.0,1.0,Mexico City,Estadio Azteca,19.3029,-99.1505,America/Mexico_City,20.0,evening(18-21),17.9,82.0,19.3,14.677999999999999
760438,2026-06-18,2026-06-18 16:00:00+00:00,group,Czech Republic,South Africa,1,1,2,0,D,,0.4808,0.2722,0.247,0.8219,H,0.4808,1.0,0.0,"Atlanta, Georgia",Mercedes-Benz Stadium,33.7554,-84.4008,America/New_York,12.0,midday(<15),27.7,76.0,31.5,21.052
760439,2026-06-18,2026-06-18 19:00:00+00:00,group,Switzerland,Bosnia and Herzegovina,4,1,5,3,H,Switzerland,0.6407,0.2286,0.1307,0.1984,H,0.6407,0.0,1.0,"Inglewood, California",SoFi Stadium,33.9535,-118.3392,America/Los_Angeles,12.0,midday(<15),21.4,60.0,21.3,12.84
760440,2026-06-18,2026-06-18 22:00:00+00:00,group,Canada,Qatar,6,0,6,6,H,Canada,0.7443,0.1832,0.0724,0.1042,H,0.7443,0.0,1.0,Vancouver,BC Place,49.2768,-123.112,America/Vancouver,15.0,afternoon(15-18),20.3,56.0,19.7,11.368
760441,2026-06-19,2026-06-19 01:00:00+00:00,group,Mexico,South Korea,1,0,1,1,H,Mexico,0.4818,0.272,0.2461,0.4031,H,0.4818,0.0,1.0,Guadalajara,Estadio Akron,20.6819,-103.4625,America/Mexico_City,19.0,evening(18-21),20.9,80.0,22.0,16.72
760442,2026-06-19,2026-06-19 19:00:00+00:00,group,United States,Australia,2,0,2,2,H,United States,0.376,0.2821,0.3418,0.5858,H,0.376,0.0,1.0,"Seattle, Washington",Lumen Field,47.5952,-122.3316,America/Los_Angeles,12.0,midday(<15),23.2,45.0,23.0,10.44
760445,2026-06-19,2026-06-19 22:00:00+00:00,group,Scotland,Morocco,0,1,1,-1,A,Morocco,0.2514,0.2731,0.4755,0.4129,A,0.4755,0.0,1.0,"Foxborough, Massachusetts",Gillette Stadium,42.0909,-71.2643,America/New_York,18.0,evening(18-21),24.2,45.0,21.8,10.89
760444,2026-06-20,2026-06-20 00:30:00+00:00,group,Brazil,Haiti,3,0,3,3,H,Brazil,0.7356,0.1877,0.0767,0.111,H,0.7356,0.0,1.0,"Philadelphia, Pennsylvania",Lincoln Financial Field,39.9008,-75.1675,America/New_York,20.5,evening(18-21),26.7,31.0,23.9,8.277
760443,2026-06-20,2026-06-20 03:00:00+00:00,group,Turkey,Paraguay,0,1,1,-1,A,Paraguay,0.4132,0.2805,0.3063,0.7306,H,0.4132,1.0,0.0,"Santa Clara, California",Levi's Stadium,37.403,-121.97,America/Los_Angeles,20.0,evening(18-21),20.5,58.0,19.3,11.89
760447,2026-06-20,2026-06-20 17:00:00+00:00,group,Netherlands,Sweden,5,1,6,4,H,Netherlands,0.5201,0.2645,0.2155,0.3467,H,0.5201,0.0,1.0,"Houston, Texas",NRG Stadium,29.6847,-95.4107,America/Chicago,12.0,midday(<15),27.7,82.0,32.6,22.714000000000002
