match_key,kickoff_utc,t_lock,t_ko,stage,home,away,home_score,away_score,outcome,kalshi_event_ticker,pm_event_slug,ai_lock_p_home,ai_lock_p_draw,ai_lock_p_away,ai_lock_raw_sum,ai_lock_brier,ai_lock_log_loss,pm_lock_p_home,pm_lock_p_draw,pm_lock_p_away,pm_lock_raw_sum,pm_lock_brier,pm_lock_log_loss,pm_ko_p_home,pm_ko_p_draw,pm_ko_p_away,pm_ko_raw_sum,pm_ko_brier,pm_ko_log_loss,kalshi_lock_p_home,kalshi_lock_p_draw,kalshi_lock_p_away,kalshi_lock_raw_sum,kalshi_lock_brier,kalshi_lock_log_loss,kalshi_ko_p_home,kalshi_ko_p_draw,kalshi_ko_p_away,kalshi_ko_raw_sum,kalshi_ko_brier,kalshi_ko_log_loss
2026-06-11T19:00:00+00:00|Mexico|South Africa,2026-06-11T19:00:00+00:00,2026-06-11T06:10:00+00:00,2026-06-11T18:55:00+00:00,group,Mexico,South Africa,2,0,home,KXWCGAME-26JUN11MEXRSA,fifwc-mex-rsa-2026-06-11,0.8688,0.0664,0.0648,1.0,0.025821439999999994,0.14064232980246605,0.6884422110552765,0.20603015075376882,0.10552763819095477,0.995,0.15065276129390665,0.37332389889636736,0.681592039800995,0.21393034825870644,0.10447761194029849,1.0050000000000001,0.15806539442093015,0.3833239822309508,0.691542288557214,0.2039800995024876,0.10447761194029853,1.005,0.1476696121383134,0.3688309749283839,0.691542288557214,0.2039800995024876,0.10447761194029853,1.005,0.1476696121383134,0.3688309749283839
2026-06-12T02:00:00+00:00|South Korea|Czech Republic,2026-06-12T02:00:00+00:00,2026-06-11T06:10:00+00:00,2026-06-12T01:55:00+00:00,group,South Korea,Czech Republic,2,1,home,KXWCGAME-26JUN11KORCZE,fifwc-kr-cze-2026-06-11,0.6072,0.115,0.2778,1.0,0.24468968000000005,0.49889705290071695,0.35323383084577115,0.31343283582089554,0.33333333333333337,1.005,0.6276577312442762,1.0406250310177603,0.373134328358209,0.31343283582089554,0.31343283582089554,1.005,0.5894408554243707,0.9858167945227653,0.35678391959799,0.30653266331658297,0.3366834170854272,0.9949999999999999,0.6210449231080023,1.0306249476831768,0.36318407960199006,0.32338308457711445,0.31343283582089554,1.005,0.6083512784337022,1.0128454669106846
2026-06-12T19:00:00+00:00|Canada|Bosnia and Herzegovina,2026-06-12T19:00:00+00:00,2026-06-12T06:10:00+00:00,2026-06-12T18:55:00+00:00,group,Canada,Bosnia and Herzegovina,1,1,draw,KXWCGAME-26JUN12CANBIH,fifwc-can-bih-2026-06-12,0.7044,0.2024,0.0932,1.0,1.14103136,1.5975093415688266,0.5270935960591132,0.270935960591133,0.20197044334975367,1.0150000000000001,0.8501540925525977,1.3058727938093164,0.5323383084577115,0.2736318407960199,0.19402985074626863,1.0050000000000001,0.8486423603376154,1.295971722826605,0.5276381909547738,0.2663316582914573,0.20603015075376885,0.9950000000000001,0.8591197191990102,1.3230129111723705,0.5376884422110553,0.2663316582914573,0.19597989949748743,0.9950000000000001,0.8657862175197597,1.3230129111723705
2026-06-13T01:00:00+00:00|United States|Paraguay,2026-06-13T01:00:00+00:00,2026-06-12T06:10:00+00:00,2026-06-13T00:55:00+00:00,group,United States,Paraguay,4,1,home,KXWCGAME-26JUN12USAPAR,fifwc-usa-par-2026-06-12,0.2733726627337266,0.27697230276972307,0.44965503449655037,1.0001,0.8068905938123316,1.2969193496926212,0.472636815920398,0.2835820895522388,0.2437810945273632,1.005,0.41795995148634935,0.7494280164585349,0.4726368159203979,0.30348258706467657,0.22388059701492535,1.0050000000000001,0.4203361302938046,0.7494280164585351,0.48717948717948717,0.2820512820512821,0.23076923076923078,0.975,0.39579224194608803,0.719122666963206,0.47783251231527085,0.2906403940886699,0.23152709359605908,1.0150000000000001,0.41073551894003735,0.7384950005384047
2026-06-13T19:00:00+00:00|Qatar|Switzerland,2026-06-13T19:00:00+00:00,2026-06-13T06:10:00+00:00,2026-06-13T18:55:00+00:00,group,Qatar,Switzerland,1,1,draw,KXWCGAME-26JUN13QATSUI,fifwc-qat-che-2026-06-13,0.0609,0.1708,0.7683,1.0,1.28156634,1.7672619976276676,0.06140788816774837,0.13479780329505742,0.8037943085371942,1.0015,1.398431060349067,2.0039793766674436,0.05480140774258422,0.11563599798893917,0.8295625942684767,0.9944999999999999,1.4732769801530337,2.157307969930777,0.06467661691542288,0.13432835820895522,0.8009950248756218,1.0050000000000001,1.3951634860523252,2.0074680420547466,0.05472636815920399,0.12437810945273634,0.8208955223880597,1.005,1.4435781292542265,2.0844290831908747
2026-06-13T22:00:00+00:00|Brazil|Morocco,2026-06-13T22:00:00+00:00,2026-06-13T06:10:00+00:00,2026-06-13T21:55:00+00:00,group,Brazil,Morocco,1,1,draw,KXWCGAME-26JUN13BRAMAR,fifwc-bra-mar-2026-06-13,0.3774,0.2829,0.3397,1.0,0.77205926,1.2626618006746155,0.5763546798029557,0.2512315270935961,0.1724137931034483,1.015,0.9225654590016744,1.3813803463174614,0.5763546798029557,0.26108374384236455,0.16256157635467983,1.015,0.9046082166517023,1.3429140654896654,0.5804878048780489,0.24878048780487808,0.17073170731707318,1.025,0.9304461629982154,1.3911843464140823,0.5763546798029557,0.2512315270935961,0.1724137931034483,1.015,0.9225654590016744,1.3813803463174614
2026-06-14T01:00:00+00:00|Haiti|Scotland,2026-06-14T01:00:00+00:00,2026-06-13T06:10:00+00:00,2026-06-14T00:55:00+00:00,group,Haiti,Scotland,0,1,away,KXWCGAME-26JUN13HTISCO,fifwc-hai-sco-2026-06-13,0.20272027202720272,0.2605260526052605,0.5367536753675367,0.9999,0.3235664900623476,0.6222159947990206,0.15422885572139305,0.2238805970149254,0.6218905472636816,1.005,0.21687581990544788,0.47499117075677455,0.1658291457286432,0.22613065326633167,0.6080402010050251,0.995,0.23226686194793064,0.49751427912775137,0.16417910447761197,0.2139303482587065,0.6218905472636816,1.005,0.21568773050172024,0.47499117075677455,0.15736040609137056,0.2182741116751269,0.6243654822335025,0.985,0.21350717617047593,0.47101937336557104
2026-06-14T04:00:00+00:00|Australia|Turkey,2026-06-14T04:00:00+00:00,2026-06-13T06:10:00+00:00,2026-06-14T03:55:00+00:00,group,Australia,Turkey,2,0,home,KXWCGAME-26JUN14AUSTUR,fifwc-aus-tur-2026-06-14,0.23412341234123413,0.2693269326932693,0.4965496549654965,0.9999,0.9056655040441538,1.4519068994849387,0.18407960199004977,0.2537313432835821,0.5621890547263682,1.005,1.0461622237073338,1.6923869954148512,0.17412935323383086,0.263681592039801,0.5621890547263682,1.005,1.067646840424742,1.747956846569662,0.18226600985221678,0.2512315270935961,0.5665024630541872,1.015,1.052731199495256,1.7022880663975628,0.1724137931034483,0.26108374384236455,0.5665024630541872,1.015,1.0739886917906283,1.7578579175523736
2026-06-14T17:00:00+00:00|Germany|Curaçao,2026-06-14T17:00:00+00:00,2026-06-14T06:10:00+00:00,2026-06-14T16:55:00+00:00,group,Germany,Curaçao,7,1,home,KXWCGAME-26JUN14GERCUW,fifwc-ger-kor-2026-06-14,0.7315,0.1897,0.0788,1.0,0.11428777999999999,0.312658058521958,0.9362867098058736,0.042309606769537086,0.021403683424589346,1.0045,0.006307603836493865,0.06583353551390402,0.9367529880478087,0.04033864541832669,0.022908366533864542,1.004,0.006152184092316002,0.06533565151058948,0.9303482587064676,0.044776119402985065,0.02487562189054726,1.0050000000000001,0.007475062498453009,0.07219629120448914,0.9303482587064676,0.044776119402985065,0.02487562189054726,1.0050000000000001,0.007475062498453009,0.07219629120448914
2026-06-14T20:00:00+00:00|Netherlands|Japan,2026-06-14T20:00:00+00:00,2026-06-14T06:10:00+00:00,2026-06-14T19:55:00+00:00,group,Netherlands,Japan,2,2,draw,KXWCGAME-26JUN14NEDJPN,fifwc-nld-jpn-2026-06-14,0.33873387338733874,0.2828282828282828,0.37843784378437845,0.9999,0.7722911104991886,1.262915339959386,0.4679802955665024,0.270935960591133,0.2610837438423645,1.0150000000000001,0.8187046518964304,1.3058727938093164,0.48258706467661694,0.27363184079601993,0.2437810945273632,1.005,0.819930199747531,1.2959717228266048,0.472636815920398,0.263681592039801,0.263681592039801,1.005,0.8350783396450583,1.3330129945069538,0.48258706467661694,0.27363184079601993,0.2437810945273632,1.005,0.819930199747531,1.2959717228266048
