team,ai_prob,market_prob,edge,edge_pct,direction,half_kelly,models_agree,strength
Spain,0.3032,0.1645,0.1387,13.87,BUY,0.083,3,STRONG EDGE
Portugal,0.0157,0.1055,-0.0898,-8.98,SELL,0.0,3,STRONG EDGE
France,0.0927,0.1605,-0.0678,-6.78,SELL,0.0,3,STRONG EDGE
Ecuador,0.062,0.0085,0.0535,5.35,BUY,0.027,3,STRONG EDGE
Brazil,0.0335,0.0845,-0.051,-5.1,SELL,0.0,3,STRONG EDGE
Argentina,0.1266,0.0855,0.0411,4.11,BUY,0.0224,3,edge
Germany,0.0229,0.0525,-0.0296,-2.96,SELL,0.0,3,edge
England,0.0799,0.1085,-0.0286,-2.86,SELL,0.0,3,edge
Netherlands,0.0178,0.0405,-0.0227,-2.27,SELL,0.0,3,edge
