team,ai_prob,market_prob,edge,edge_pct,direction,half_kelly,models_agree,strength
Spain,0.3019,0.1535,0.1484,14.84,BUY,0.0877,3,STRONG EDGE
Portugal,0.0184,0.0745,-0.0561,-5.61,SELL,0.0,3,STRONG EDGE
Brazil,0.0319,0.0855,-0.0536,-5.36,SELL,0.0,3,STRONG EDGE
Ecuador,0.0601,0.0075,0.0526,5.26,BUY,0.0265,3,STRONG EDGE
Argentina,0.1339,0.0865,0.0474,4.74,BUY,0.0259,3,edge
England,0.065,0.1105,-0.0455,-4.55,SELL,0.0,3,edge
France,0.1256,0.1665,-0.0409,-4.09,SELL,0.0,3,edge
Germany,0.019,0.0515,-0.0325,-3.25,SELL,0.0,3,edge
