team,ai_prob,market_prob,edge,edge_pct,direction,half_kelly,models_agree,strength
Spain,0.3012,0.1545,0.1467,14.67,BUY,0.0868,3,STRONG EDGE
Portugal,0.0185,0.0775,-0.059,-5.9,SELL,0.0,3,STRONG EDGE
Brazil,0.0324,0.0855,-0.0531,-5.31,SELL,0.0,3,STRONG EDGE
Ecuador,0.0605,0.0075,0.053,5.3,BUY,0.0267,3,STRONG EDGE
England,0.0655,0.1115,-0.046,-4.6,SELL,0.0,3,edge
Argentina,0.1337,0.089,0.0447,4.47,BUY,0.0246,3,edge
France,0.1256,0.1665,-0.0409,-4.09,SELL,0.0,3,edge
Germany,0.0191,0.0525,-0.0334,-3.34,SELL,0.0,3,edge
