team,ai_prob,market_prob,edge,edge_pct,direction,half_kelly,models_agree,strength
Spain,0.2863,0.1615,0.1248,12.48,BUY,0.0744,3,STRONG EDGE
Portugal,0.0172,0.1055,-0.0883,-8.83,SELL,0.0,3,STRONG EDGE
France,0.0935,0.1615,-0.068,-6.8,SELL,0.0,3,STRONG EDGE
Ecuador,0.0642,0.0085,0.0557,5.57,BUY,0.0281,3,STRONG EDGE
Brazil,0.034,0.0835,-0.0495,-4.95,SELL,0.0,3,edge
Argentina,0.1322,0.0885,0.0437,4.37,BUY,0.024,3,edge
England,0.0805,0.1105,-0.03,-3.0,SELL,0.0,3,edge
Germany,0.0248,0.0535,-0.0287,-2.87,SELL,0.0,3,edge
Netherlands,0.0171,0.0395,-0.0224,-2.24,SELL,0.0,3,edge
