team,ai_prob,market_prob,edge,edge_pct,direction,half_kelly,models_agree,strength
Spain,0.2863,0.1605,0.1258,12.58,BUY,0.0749,0,edge
Portugal,0.0172,0.1015,-0.0843,-8.43,SELL,0.0,0,edge
France,0.0935,0.1605,-0.067,-6.7,SELL,0.0,0,edge
Ecuador,0.0642,0.0085,0.0557,5.57,BUY,0.0281,0,edge
Brazil,0.034,0.0845,-0.0505,-5.05,SELL,0.0,0,edge
Argentina,0.1322,0.0855,0.0467,4.67,BUY,0.0255,0,edge
Germany,0.0248,0.0525,-0.0277,-2.77,SELL,0.0,0,edge
England,0.0805,0.1055,-0.025,-2.5,SELL,0.0,0,edge
Netherlands,0.0171,0.0395,-0.0224,-2.24,SELL,0.0,0,edge
Turkey,0.033,0.0115,0.0215,2.15,BUY,0.0109,0,edge
