team,ai_prob,market_prob,edge,edge_pct,direction,half_kelly,models_agree,strength
Spain,0.3012,0.1605,0.1407,14.07,BUY,0.0838,3,STRONG EDGE
Ecuador,0.0605,0.0065,0.054,5.4,BUY,0.0272,3,STRONG EDGE
Portugal,0.0185,0.0725,-0.054,-5.4,SELL,0.0,3,STRONG EDGE
Brazil,0.0324,0.0845,-0.0521,-5.21,SELL,0.0,3,STRONG EDGE
England,0.0655,0.1105,-0.045,-4.5,SELL,0.0,3,edge
Argentina,0.1337,0.089,0.0447,4.47,BUY,0.0246,3,edge
France,0.1256,0.1605,-0.0349,-3.49,SELL,0.0,3,edge
Germany,0.0191,0.0525,-0.0334,-3.34,SELL,0.0,3,edge
