team,ai_prob,market_prob,edge,edge_pct,direction,half_kelly,models_agree,strength
Spain,0.2863,0.1595,0.1268,12.68,BUY,0.0754,0,edge
Portugal,0.0172,0.0985,-0.0813,-8.13,SELL,0.0,0,edge
France,0.0935,0.1615,-0.068,-6.8,SELL,0.0,0,edge
Ecuador,0.0642,0.0085,0.0557,5.57,BUY,0.0281,0,edge
Brazil,0.034,0.0835,-0.0495,-4.95,SELL,0.0,0,edge
Argentina,0.1322,0.0845,0.0477,4.77,BUY,0.0261,0,edge
England,0.0805,0.1095,-0.029,-2.9,SELL,0.0,0,edge
Germany,0.0248,0.0535,-0.0287,-2.87,SELL,0.0,0,edge
Netherlands,0.0171,0.0395,-0.0224,-2.24,SELL,0.0,0,edge
Turkey,0.033,0.0125,0.0205,2.05,BUY,0.0104,0,edge
