team,ai_prob,market_prob,edge,edge_pct,direction,half_kelly,models_agree,strength
Spain,0.3019,0.1695,0.1324,13.24,BUY,0.0797,0,edge
Portugal,0.0184,0.1015,-0.0831,-8.31,SELL,0.0,0,edge
Brazil,0.0319,0.0935,-0.0616,-6.16,SELL,0.0,0,edge
Ecuador,0.0601,0.0085,0.0516,5.16,BUY,0.026,0,edge
Argentina,0.1339,0.0855,0.0484,4.84,BUY,0.0264,0,edge
England,0.065,0.1115,-0.0465,-4.65,SELL,0.0,0,edge
France,0.1256,0.1665,-0.0409,-4.09,SELL,0.0,0,edge
Germany,0.019,0.0515,-0.0325,-3.25,SELL,0.0,0,edge
