team,ai_prob,market_prob,edge,edge_pct,direction,half_kelly,models_agree,strength
Spain,0.3019,0.1615,0.1404,14.04,BUY,0.0837,3,STRONG EDGE
Portugal,0.0184,0.0755,-0.0571,-5.71,SELL,0.0,3,STRONG EDGE
Brazil,0.0319,0.0875,-0.0556,-5.56,SELL,0.0,3,STRONG EDGE
France,0.1256,0.1785,-0.0529,-5.29,SELL,0.0,3,STRONG EDGE
Ecuador,0.0601,0.0075,0.0526,5.26,BUY,0.0265,3,STRONG EDGE
England,0.065,0.1135,-0.0485,-4.85,SELL,0.0,3,edge
Argentina,0.1339,0.0865,0.0474,4.74,BUY,0.0259,3,edge
Germany,0.019,0.0515,-0.0325,-3.25,SELL,0.0,3,edge
