team,ai_prob,market_prob,edge,edge_pct,direction,half_kelly,models_agree,strength
Spain,0.3019,0.1735,0.1284,12.84,BUY,0.0777,3,STRONG EDGE
Portugal,0.0184,0.0955,-0.0771,-7.71,SELL,0.0,3,STRONG EDGE
Brazil,0.0319,0.0895,-0.0576,-5.76,SELL,0.0,3,STRONG EDGE
Ecuador,0.0601,0.0075,0.0526,5.26,BUY,0.0265,3,STRONG EDGE
Argentina,0.1339,0.0825,0.0514,5.14,BUY,0.028,3,STRONG EDGE
France,0.1256,0.1755,-0.0499,-4.99,SELL,0.0,3,edge
England,0.065,0.1125,-0.0475,-4.75,SELL,0.0,3,edge
Germany,0.019,0.0515,-0.0325,-3.25,SELL,0.0,3,edge
